name, position, max_rating
G. LO CELSO, CMF, 90
C. TOLISSO, CMF, 90
E. CAN, CMF, 90
ALLAN, DMF, 90
M. KOVAČIĆ, CMF, 90
R. NAINGGOLAN, CMF, 90
FERNANDINHO, DMF, 90
NÉLSON SEMEDO, RB, 90
JOÃO CANCELO, RB, 90
SERGI ROBERTO, RB, 90
J. CUADRADO, RB, 90
JUNIOR FIRPO, LB, 90
MARCELO, LB, 90
S. UMTITI, CB, 91
J. MUSSO, GK, 90
B. LENO, GK, 90
I. PERIŠIĆ, LWF, 89
R. ZOBNIN, CMF, 89
J. DRAXLER, CMF, 89
A. RAMSEY, CMF, 89
B. MATUIDI, CMF, 89
B. MENDY, LB, 89
M. BENATIA, CB, 89
D. ORIGI, CF, 88
A. VIDAL, CMF, 89
M. DE SCIGLIO, RB, 88
DANILO PEREIRA, DMF, 88
AZPILICUETA, RB, 90
M. SARR, CB, 88
D. RUGANI, CB, 88
N. OTAMENDI, CB, 89
NETO, GK, 88
Ł. FABIAŃSKI, GK, 88
DAVID DE GEA, GK, 92
R. FALCAO, CF, 93
RAFAEL TOLÓI, CB, 92
S. KHEDIRA, CMF, 88
K. KOULIBALY, CB, 93
A. AREOLA, GK, 87
S. HANDANOVIČ, GK, 91
T. WERNER, CF, 93
J. ILIČIĆ, SS, 92
FÀBREGAS, CMF, 91
THIAGO SILVA, CB, 91
C. LENGLET, CB, 92
H. LLORIS, GK, 91
JORGINHO, DMF, 92
T. ALDERWEIRELD, CB, 91
W. NDIDI, DMF, 92
Z. IBRAHIMOVIĆ, CF, 88
J. VERTONGHEN, CB, 90
F. THAUVIN, RWF, 91
LUCAS MOURA, RMF, 90
J. PICKFORD, GK, 89
T. ABRAHAM, CF, 90
A. SÁNCHEZ, CF, 89
JUAN BERNAT, LB, 91
T. KEHRER, CB, 90
J. MATIP, CB, 89
A. CHRISTENSEN, CB, 90
LUCAS VÁZQUEZ, RWF, 87
S. MCTOMINAY, CMF, 88
P. FODEN, CMF, 91
B. SAKA, LMF, 91
J. HENDERSON, CMF, 91
